Name,Position,Value
William Saliba,CB,80.00
Rúben Dias,CB,80.00
Ronald Araujo,CB,70.00
Gabriel Magalhães,CB,70.00
Alessandro Bastoni,CB,70.00
Cristian Romero,CB,65.00
Matthijs de Ligt,CB,65.00
Bremer,CB,60.00
Éder Militão,CB,60.00
Micky van de Ven,CB,55.00
Leny Yoro,CB,50.00
Levi Colwill,CB,50.00
Lisandro Martínez,CB,50.00
Benjamin Pavard,CB,50.00
Marquinhos,CB,50.00
António Silva,CB,45.00
Giorgio Scalvini,CB,45.00
Edmond Tapsoba,CB,45.00
Gonçalo Inácio,CB,45.00
Min-jae Kim,CB,45.00
Riccardo Calafiori,CB,45.00
Jules Koundé,CB,45.00
Pau Torres,CB,45.00
Sven Botman,CB,45.00
Ibrahima Konaté,CB,45.00
Dayot Upamecano,CB,45.00
Manuel Akanji,CB,45.00
Jarrad Branthwaite,CB,42.00
Ousmane Diomande,CB,40.00
Piero Hincapié,CB,40.00
Castello Lukeba,CB,40.00
Nico Schlotterbeck,CB,40.00
Axel Disasi,CB,40.00
Robin Le Normand,CB,40.00
Fikayo Tomori,CB,40.00
Andreas Christensen,CB,40.00
Nathan Aké,CB,40.00
Jurrien Timber,CB,38.00
Marc Guéhi,CB,38.00
John Stones,CB,38.00
Murillo,CB,35.00
Mohamed Simakan,CB,35.00
Willian Pacho,CB,35.00
Odilon Kossounou,CB,35.00
Jean-Clair Todibo,CB,35.00
Ezri Konsa,CB,35.00
Dávid Hancko,CB,35.00
Alessandro Buongiorno,CB,35.00
Nayef Aguerd,CB,35.00
Joachim Andersen,CB,35.00
Ilya Zabarnyi,CB,32.00
Max Kilman,CB,32.00
Pau Cubarsí,CB,30.00
Jorrel Hato,CB,30.00
Lucas Beraldo,CB,30.00
Cristhian Mosquera,CB,30.00
Benoît Badiashile,CB,30.00
Hiroki Ito,CB,30.00
Milan Skriniar,CB,30.00
Jonathan Tah,CB,30.00
Virgil van Dijk,CB,30.00
Josip Stanisic,CB,28.00
Joe Gomez,CB,28.00
Olivier Boscagli,CB,27.00
