Name,Position,Value
Jude Bellingham,CM,180.00
Florian Wirtz,CM,130.00
Jamal Musiala,CM,130.00
Rodri,CM,130.00
Federico Valverde,CM,120.00
Declan Rice,CM,120.00
Martin Ødegaard,CM,110.00
Eduardo Camavinga,CM,100.00
Aurélien Tchouaméni,CM,100.00
Gavi,CM,90.00
Bruno Guimarães,CM,85.00
Pedri,CM,80.00
Cole Palmer,CM,80.00
Xavi Simons,CM,80.00
Nicolò Barella,CM,80.00
Moisés Caicedo,CM,75.00
Enzo Fernández,CM,75.00
Alexis Mac Allister,CM,75.00
Dominik Szoboszlai,CM,75.00
Douglas Luiz,CM,70.00
Frenkie de Jong,CM,70.00
Kai Havertz,CM,70.00
James Maddison,CM,70.00
Bernardo Silva,CM,70.00
Bruno Fernandes,CM,70.00
Lucas Paquetá,CM,65.00
Christopher Nkunku,CM,65.00
Warren Zaïre-Emery,CM,60.00
Dani Olmo,CM,60.00
Kobbie Mainoo,CM,55.00
João Neves,CM,55.00
Vitinha,CM,55.00
Eberechi Eze,CM,55.00
João Palhinha,CM,55.00
Matheus Nunes,CM,50.00
Mohammed Kudus,CM,50.00
Conor Gallagher,CM,50.00
Amadou Onana,CM,50.00
Martín Zubimendi,CM,50.00
Teun Koopmeiners,CM,50.00
Mikel Merino,CM,50.00
Kevin De Bruyne,CM,50.00
Pape Matar Sarr,CM,45.00
Manuel Ugarte,CM,45.00
Exequiel Palacios,CM,45.00
Hakan Çalhanoğlu,CM,45.00
Éderson,CM,40.00
Álex Baena,CM,40.00
Morten Hjulmand,CM,40.00
Morgan Gibbs-White,CM,40.00
Joey Veerman,CM,40.00
Joelinton,CM,40.00
Brahim Díaz,CM,40.00
Brais Méndez,CM,40.00
Julian Brandt,CM,40.00
Sandro Tonali,CM,38.00
Boubacar Kamara,CM,38.00
Alan Varela,CM,35.00
João Gomes,CM,35.00
Roméo Lavia,CM,35.00
Georgiy Sudakov,CM,35.00
Oihan Sancet,CM,35.00
Harvey Elliott,CM,35.00
Cheick Doucouré,CM,35.00
Jacob Ramsey,CM,35.00
Ryan Gravenberch,CM,35.00
Khéphren Thuram,CM,35.00
Curtis Jones,CM,35.00
Yves Bissouma,CM,35.00
Edson Álvarez,CM,35.00
Davide Frattesi,CM,35.00
Rodrigo Bentancur,CM,35.00
Fabián Ruiz,CM,35.00
Mason Mount,CM,35.00
Adrien Rabiot,CM,35.00
Charles De Ketelaere,CM,34.00
Scott McTominay,CM,32.00
Rúben Neves,CM,32.00
Aleksandar Pavlovic,CM,30.00
Adam Wharton,CM,30.00
Bilal El Khannouss,CM,30.00
Fermín López,CM,30.00
Youssouf Fofana,CM,30.00
Enzo Millot,CM,30.00
Kiernan Dewsbury-Hall,CM,30.00
Tijjani Reijnders,CM,30.00
Mats Wieffer,CM,30.00
Ibrahim Sangaré,CM,30.00
Ismaël Bennacer,CM,30.00
Joe Willock,CM,30.00
Tomas Soucek,CM,30.00
Marcos Llorente,CM,30.00
Sergej Milinković-Savić,CM,30.00
Aleksandr Golovin,CM,30.00
Rodrigo de Paul,CM,30.00
Konrad Laimer,CM,30.00
John McGinn,CM,30.00
James Ward-Prowse,CM,30.00
Leon Goretzka,CM,30.00
Mateo Kovacic,CM,30.00
Hugo Larsson,CM,28.00
Danilo,CM,28.00
Quinten Timber,CM,28.00
Jerdy Schouten,CM,28.00
Weston McKennie,CM,28.00
Mathias Jensen,CM,28.00
Manuel Locatelli,CM,28.00
Xaver Schlager,CM,28.00
Stanislav Lobotka,CM,28.00
Thiago Almada,CM,27.00
Orkun Kökçü,CM,27.00
Frank Anguissa,CM,27.00
Oscar Gloukh,CM,25.00
Arthur Vermeeren,CM,25.00
André,CM,25.00
