Name,Position,Value
Josko Gvardiol,FB,75.00
Trent Alexander-Arnold,FB,70.00
Achraf Hakimi,FB,60.00
Theo Hernández,FB,60.00
Nuno Mendes,FB,55.00
Ben White,FB,55.00
Jeremie Frimpong,FB,50.00
Alphonso Davies,FB,50.00
Federico Dimarco,FB,50.00
Joshua Kimmich,FB,50.00
Destiny Udogie,FB,45.00
Pedro Porro,FB,45.00
Alejandro Grimaldo,FB,45.00
Alejandro Balde,FB,40.00
Ian Maatsen,FB,40.00
Reece James,FB,40.00
Lucas Hernández,FB,40.00
Rico Lewis,FB,38.00
Oleksandr Zinchenko,FB,38.00
Malo Gusto,FB,35.00
Rayan Aït-Nouri,FB,35.00
Tino Livramento,FB,35.00
Diogo Dalot,FB,35.00
Takehiro Tomiyasu,FB,35.00
Lutsharel Geertruida,FB,32.00
Luke Shaw,FB,32.00
Jakub Kiwior,FB,30.00
Ferdi Kadıoğlu,FB,30.00
Pervis Estupiñán,FB,30.00
Noussair Mazraoui,FB,30.00
Marc Cucurella,FB,30.00
Andrew Robertson,FB,30.00
Aaron Hickey,FB,28.00
Matty Cash,FB,28.00
Nahuel Molina,FB,28.00
Vitaliy Mykolenko,FB,28.00
Ben Chilwell,FB,28.00
Michael Kayode,FB,25.00
