Name,Position,Value
Erling Haaland,ST,180.00
Kylian Mbappé,ST,180.00
Lautaro Martínez,ST,110.00
Victor Osimhen,ST,100.00
Harry Kane,ST,100.00
Julián Álvarez,ST,90.00
Alexander Isak,ST,75.00
Darwin Núñez,ST,70.00
Rasmus Højlund,ST,65.00
Gabriel Jesus,ST,65.00
Dušan Vlahović,ST,65.00
Viktor Gyökeres,ST,65.00
Ollie Watkins,ST,65.00
Marcus Thuram,ST,65.00
Endrick,ST,60.00
Loïs Openda,ST,60.00
Evan Ferguson,ST,50.00
Benjamin Sesko,ST,50.00
Gonçalo Ramos,ST,50.00
Jonathan David,ST,50.00
Joshua Zirkzee,ST,50.00
Ivan Toney,ST,50.00
João Pedro,ST,45.00
Matheus Cunha,ST,45.00
Randal Kolo Muani,ST,45.00
Mikel Oyarzabal,ST,45.00
Victor Boniface,ST,40.00
Santiago Gimenez,ST,40.00
Ademola Lookman,ST,40.00
Serhou Guirassy,ST,40.00
Dominic Solanke,ST,40.00
Richarlison,ST,38.00
Samu Omorodion,ST,35.00
Nicolas Jackson,ST,35.00
Evanilson,ST,35.00
Elye Wahi,ST,35.00
Brian Brobbey,ST,35.00
Artem Dovbyk,ST,35.00
Gianluca Scamacca,ST,35.00
Vitor Roque,ST,30.00
Kenan Yıldız,ST,30.00
Maximilian Beier,ST,30.00
Folarin Balogun,ST,30.00
João Félix,ST,30.00
Eddie Nketiah,ST,30.00
Tammy Abraham,ST,30.00
Albert Gudmundsson,ST,30.00
Romelu Lukaku,ST,30.00
Ermedin Demirovic,ST,28.00
Taiwo Awoniyi,ST,28.00
Aleksandar Mitrovic,ST,28.00
Karim Konaté,ST,25.00
